dataset,knn,logreg,mlp,rf,svm_linear,svm_rbf,xgboost
banknote,0.999 ± 0.002,0.982 ± 0.008,0.994 ± 0.007,0.993 ± 0.005,0.986 ± 0.006,1.000 ± 0.001,0.995 ± 0.005
breast_cancer,0.965 ± 0.016,0.973 ± 0.016,0.965 ± 0.021,0.955 ± 0.021,0.975 ± 0.016,0.974 ± 0.015,0.959 ± 0.018
circles,0.989 ± 0.012,0.458 ± 0.032,0.765 ± 0.185,0.986 ± 0.012,0.499 ± 0.041,0.991 ± 0.011,0.986 ± 0.014
digits_3v5,0.996 ± 0.008,0.994 ± 0.009,0.990 ± 0.012,0.992 ± 0.011,0.992 ± 0.008,0.992 ± 0.010,0.983 ± 0.015
iris_binary,0.932 ± 0.043,0.944 ± 0.049,0.946 ± 0.041,0.916 ± 0.051,0.938 ± 0.046,0.938 ± 0.044,0.918 ± 0.058
moons,0.969 ± 0.012,0.856 ± 0.035,0.848 ± 0.031,0.964 ± 0.017,0.858 ± 0.033,0.963 ± 0.018,0.962 ± 0.017
wine_binary,0.969 ± 0.028,0.988 ± 0.020,0.979 ± 0.025,0.988 ± 0.020,0.969 ± 0.029,0.986 ± 0.017,0.950 ± 0.061
